id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0063,5.0,850.0,45.0,200.0,False,True,low,0.04938356072727273,12.785000000000002,0.045,1.5,240.0,0.31763636363636366,0.8563915178377439,0.8199999999999998,0.04049451979636363,234.6,14.876600000000002,0.06075,-1.1587080414271589,False
candidate_0064,5.0,850.0,45.0,200.0,False,True,nominal,0.054201469090909095,12.915000000000001,0.045,1.7,240.0,0.31763636363636366,0.8567208672086721,0.8199999999999998,0.04444520465454545,234.6,15.0066,0.06075,-1.1870475539078589,False
candidate_0065,5.0,850.0,45.0,200.0,False,True,high,0.05721266181818182,13.085,0.045,1.95,240.0,0.31763636363636366,0.8571416804653336,0.8199999999999998,0.046914382690909084,234.6,15.1766,0.06075,-1.2304337913485333,False
candidate_0066,5.0,850.0,45.0,200.0,True,False,low,0.04938356072727273,12.905000000000001,0.012,1.7,240.0,0.31763636363636366,0.8829846571096474,0.8199999999999998,0.04049451979636363,234.6,14.9966,0.016200000000000003,-1.126077646446494,True
candidate_0067,5.0,850.0,45.0,200.0,True,False,nominal,0.054201469090909095,13.035,0.012,1.9,240.0,0.31763636363636366,0.8833079401611047,0.8199999999999998,0.04444520465454545,234.6,15.1266,0.016200000000000003,-1.154425651774453,True
candidate_0068,5.0,850.0,45.0,200.0,True,False,high,0.05721266181818182,13.205,0.012,2.15,240.0,0.31763636363636366,0.8837210904960242,0.8199999999999998,0.046914382690909084,234.6,15.2966,0.016200000000000003,-1.1978226173055662,True
candidate_0069,5.0,850.0,45.0,200.0,True,True,low,0.04938356072727273,12.485000000000001,0.012,2.2,240.0,0.31763636363636366,0.881894193031638,0.8199999999999998,0.04049451979636363,234.6,14.576600000000001,0.016200000000000003,-1.092004296155707,True
candidate_0070,5.0,850.0,45.0,200.0,True,True,nominal,0.054201469090909095,12.615,0.012,2.4000000000000004,240.0,0.31763636363636366,0.8822394768133174,0.8199999999999998,0.04444520465454545,234.6,14.7066,0.016200000000000003,-1.1203215004613558,True
candidate_0071,5.0,850.0,45.0,200.0,True,True,high,0.05721266181818182,12.785,0.012,2.6500000000000004,240.0,0.31763636363636366,0.8826804067266327,0.8199999999999998,0.046914382690909084,234.6,14.8766,0.016200000000000003,-1.1636795745827142,True
candidate_0072,5.0,850.0,60.0,50.0,False,False,low,0.05727023127272727,15.350000000000001,0.045,1.0,240.0,0.3683636363636364,0.8618589938472676,0.82,0.04696158964363636,234.6,17.441599999999998,0.06075,-1.5554028998138256,False
candidate_0073,5.0,850.0,60.0,50.0,False,False,nominal,0.06285757090909092,15.48,0.045,1.2,240.0,0.3683636363636364,0.8620878552971578,0.82,0.051543208145454544,234.6,17.5716,0.06075,-1.582190346583979,False
candidate_0074,5.0,850.0,60.0,50.0,False,False,high,0.06634965818181818,15.65,0.045,1.45,240.0,0.3683636363636364,0.8623813986510473,0.82,0.0544067197090909,234.6,17.7416,0.06075,-1.6246967938885342,False
